,enrollee_id,city_development_index,training_hours,target,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job
0,8949,0.92,36,1.0,5.0,1.0,0.0,3.0,0.0,5.0,21.0,8.0,6.0,0.0
1,29725,0.7759999999999999,47,0.0,77.0,1.0,1.0,3.0,0.0,5.0,6.0,4.0,5.0,4.0
2,11561,0.624,83,0.0,64.0,3.0,1.0,0.0,0.0,5.0,15.0,8.0,6.0,6.0
3,33241,0.789,52,1.0,14.0,3.0,1.0,2.0,0.0,1.0,20.0,8.0,5.0,6.0
4,666,0.767,8,0.0,50.0,1.0,0.0,3.0,2.0,5.0,21.0,4.0,1.0,3.0
5,21651,0.764,24,1.0,57.0,3.0,0.0,1.0,0.0,5.0,2.0,8.0,6.0,0.0
6,28806,0.92,24,0.0,49.0,1.0,0.0,3.0,1.0,6.0,15.0,4.0,1.0,0.0
7,402,0.762,18,1.0,83.0,1.0,0.0,3.0,0.0,5.0,4.0,7.0,5.0,4.0
8,27107,0.92,46,1.0,5.0,1.0,0.0,3.0,0.0,5.0,17.0,4.0,5.0,0.0
9,699,0.92,123,0.0,5.0,3.0,0.0,3.0,0.0,5.0,8.0,3.0,5.0,4.0
10,29452,0.624,32,1.0,64.0,3.0,1.0,0.0,1.0,6.0,11.0,8.0,6.0,6.0
11,23853,0.92,108,0.0,5.0,1.0,0.0,3.0,0.0,5.0,15.0,6.0,5.0,0.0
12,25619,0.913,23,0.0,91.0,1.0,0.0,3.0,0.0,5.0,21.0,2.0,5.0,2.0
13,5826,0.624,24,0.0,64.0,1.0,1.0,2.0,5.0,6.0,11.0,8.0,6.0,6.0
14,8722,0.624,26,0.0,64.0,3.0,1.0,0.0,1.0,6.0,15.0,8.0,6.0,6.0
15,6588,0.926,18,0.0,13.0,1.0,0.0,3.0,0.0,5.0,7.0,0.0,5.0,4.0
16,4167,0.92,106,0.0,5.0,3.0,0.0,3.0,0.0,5.0,0.0,4.0,5.0,6.0
17,5764,0.624,7,0.0,64.0,3.0,0.0,3.0,0.0,5.0,11.0,6.0,5.0,1.0
18,2156,0.624,23,1.0,64.0,3.0,0.0,3.0,0.0,5.0,17.0,3.0,5.0,6.0
19,11399,0.8270000000000001,132,1.0,26.0,0.0,0.0,3.0,0.0,0.0,14.0,8.0,6.0,0.0
20,31972,0.843,68,0.0,47.0,1.0,0.0,3.0,2.0,5.0,2.0,1.0,5.0,0.0
21,19061,0.926,50,0.0,13.0,1.0,0.0,3.0,2.0,5.0,2.0,1.0,5.0,1.0
22,6491,0.804,48,0.0,4.0,3.0,0.0,3.0,2.0,5.0,1.0,8.0,6.0,0.0
23,7041,0.7759999999999999,65,0.0,77.0,1.0,0.0,3.0,0.0,2.0,20.0,2.0,5.0,0.0
24,22767,0.624,13,0.0,64.0,3.0,0.0,3.0,0.0,5.0,15.0,2.0,5.0,0.0
25,14505,0.855,22,0.0,95.0,3.0,1.0,3.0,1.0,6.0,14.0,8.0,6.0,6.0
26,17139,0.624,148,1.0,64.0,3.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,0.0
27,28476,0.92,72,0.0,5.0,1.0,0.0,3.0,0.0,0.0,15.0,8.0,6.0,1.0
28,21538,0.887,8,1.0,2.0,1.0,0.0,3.0,1.0,6.0,2.0,7.0,5.0,0.0
29,10408,0.624,68,1.0,64.0,1.0,0.0,3.0,0.0,5.0,9.0,4.0,1.0,1.0
30,14928,0.92,40,0.0,5.0,1.0,0.0,3.0,0.0,5.0,21.0,1.0,5.0,2.0
31,22293,0.92,141,0.0,5.0,1.0,0.0,1.0,0.0,5.0,10.0,6.0,5.0,4.0
32,4324,0.92,24,0.0,5.0,0.0,1.0,0.0,0.0,5.0,15.0,8.0,6.0,0.0
