,index,id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,0,1,2
0,84511,84512,1,50,1,28.0,0,1,37872.0,26.0,266,0,0,0,1
1,299643,299644,0,41,1,18.0,0,1,29706.0,131.0,101,0,1,0,0
2,210116,210117,0,27,1,50.0,1,0,34363.0,152.0,95,0,0,1,0
3,213743,213744,0,33,1,28.0,0,1,44631.0,24.0,142,0,0,1,0
4,116314,116315,1,22,1,15.0,1,1,37366.0,152.0,240,0,0,1,0
5,325953,325954,0,22,1,21.0,0,1,24684.0,152.0,246,0,0,1,0
6,346645,346646,0,44,1,28.0,1,0,29402.0,61.0,145,0,1,0,0
7,181809,181810,1,61,1,46.0,0,1,23493.0,154.0,46,1,1,0,0
8,378654,378655,1,22,1,30.0,1,0,26228.0,152.0,98,0,0,1,0
9,260634,260635,0,24,1,3.0,0,1,24104.0,152.0,289,0,0,1,0
10,363923,363924,1,22,1,30.0,0,1,27845.0,160.0,58,0,0,1,0
11,289363,289364,0,77,1,28.0,1,0,36664.0,26.0,81,0,1,0,0
12,203072,203073,1,61,1,30.0,1,0,37213.0,152.0,263,0,1,0,0
13,318484,318485,1,31,1,30.0,0,1,36237.0,152.0,49,1,0,1,0
14,298680,298681,1,35,1,30.0,1,0,30260.0,124.0,10,0,1,0,0
15,58946,58947,0,24,1,50.0,1,0,20860.0,152.0,144,0,0,1,0
16,262257,262258,0,30,1,28.0,1,0,26974.0,152.0,168,0,0,1,0
17,66192,66193,0,69,1,28.0,0,1,42054.0,26.0,243,0,0,0,1
18,318224,318225,1,42,1,28.0,0,1,40496.0,26.0,295,0,1,0,0
19,249497,249498,1,55,1,28.0,1,0,38687.0,26.0,197,0,1,0,0
20,124814,124815,1,55,1,30.0,1,0,2630.0,122.0,105,0,1,0,0
21,181548,181549,1,34,1,28.0,1,0,30055.0,124.0,256,0,1,0,0
22,114583,114584,1,76,1,46.0,1,0,2630.0,26.0,21,0,1,0,0
23,301134,301135,0,60,1,8.0,0,1,50793.0,124.0,16,0,1,0,0
24,268972,268973,1,24,1,36.0,1,0,44772.0,152.0,221,0,0,1,0
25,316356,316357,1,48,1,28.0,0,1,47355.0,26.0,20,0,1,0,0
26,368323,368324,1,54,1,17.0,1,0,28264.0,26.0,221,0,1,0,0
27,172952,172953,1,35,1,30.0,1,0,37148.0,152.0,165,0,1,0,0
28,133439,133440,1,47,1,28.0,1,0,41515.0,124.0,254,0,1,0,0
29,297839,297840,1,45,1,28.0,1,0,26690.0,124.0,208,0,1,0,0
30,58644,58645,1,48,1,28.0,0,1,43093.0,26.0,22,0,1,0,0
31,242236,242237,0,25,1,34.0,0,1,32234.0,151.0,209,0,0,1,0
32,269445,269446,0,42,1,28.0,0,1,40290.0,26.0,85,1,1,0,0
33,125676,125677,1,46,1,41.0,0,1,36438.0,26.0,167,1,1,0,0
34,184158,184159,0,51,1,23.0,0,1,30642.0,26.0,155,0,1,0,0
35,215188,215189,1,23,1,3.0,1,0,35686.0,152.0,53,0,0,1,0
36,112427,112428,0,25,1,28.0,0,1,44221.0,152.0,13,0,0,1,0
37,333023,333024,1,54,1,28.0,0,1,31360.0,26.0,80,0,1,0,0
38,356890,356891,0,22,1,35.0,1,1,29573.0,163.0,52,0,0,1,0
39,157449,157450,0,25,1,15.0,1,0,34942.0,160.0,276,0,0,1,0
40,379833,379834,0,41,1,47.0,0,1,28276.0,26.0,18,0,1,0,0
41,38720,38721,0,43,1,48.0,0,1,2630.0,26.0,189,1,1,0,0
42,161502,161503,1,58,1,28.0,0,1,73684.0,52.0,181,0,1,0,0
43,335511,335512,0,27,1,36.0,1,0,2630.0,152.0,166,0,0,1,0
44,163256,163257,1,25,1,9.0,1,0,28510.0,152.0,252,0,0,1,0
45,133295,133296,1,30,1,25.0,0,1,31141.0,124.0,148,1,1,0,0
46,200668,200669,1,30,1,13.0,1,0,32658.0,163.0,124,0,0,1,0
47,154086,154087,1,64,1,48.0,1,0,2630.0,22.0,275,0,1,0,0
48,291424,291425,0,24,1,28.0,1,0,50983.0,152.0,139,0,0,1,0
49,327402,327403,0,60,1,28.0,0,1,40170.0,124.0,94,0,1,0,0
50,51499,51500,1,47,1,28.0,1,1,53715.0,124.0,248,0,1,0,0
51,123712,123713,0,38,1,3.0,0,1,25910.0,154.0,51,1,1,0,0
52,378298,378299,0,45,1,8.0,1,0,2630.0,26.0,277,0,1,0,0
53,191271,191272,0,22,1,8.0,1,0,48734.0,152.0,196,0,0,1,0
54,190628,190629,0,23,1,36.0,0,0,37219.0,152.0,113,0,0,1,0
55,65460,65461,0,36,1,35.0,1,0,2630.0,152.0,159,0,1,0,0
56,80431,80432,1,55,1,39.0,0,1,2630.0,26.0,203,1,1,0,0
57,370186,370187,1,40,1,2.0,1,0,36254.0,154.0,110,0,1,0,0
58,133491,133492,1,34,1,11.0,0,1,2630.0,124.0,68,1,1,0,0
59,129542,129543,1,25,1,49.0,0,1,30272.0,152.0,253,0,0,1,0
60,9958,9959,0,23,1,46.0,1,0,21747.0,152.0,60,0,0,1,0
61,19434,19435,0,23,1,30.0,1,0,25569.0,152.0,194,0,0,1,0
62,292644,292645,1,26,1,30.0,1,0,29333.0,152.0,103,0,0,1,0
63,258460,258461,0,64,1,33.0,1,0,33243.0,26.0,189,0,1,0,0
64,238211,238212,1,56,1,39.0,1,0,28625.0,26.0,74,0,1,0,0
